"name","other_names","air_dates","air_days","country","duration_mins","episodes","genres","native_name","original_network","mdl_popularity","mdl_rank","mdl_num_reviews","mdl_rating","mdl_num_ratings","mdl_tags","mdl_num_watchers","db_rating","db_num_ratings","image_path"
"The Untamed","Chen qing ling,魔道祖师,Chén qíng lìng,Mo Dao Zu Shi,Magic Ancestors,The Founder of Diabolism,Grandmaster of Demonic Cultivation","Jun 27, 2019 - Aug  7, 2019","Tuesday,Wednesday,Monday","China","45","50","Fantasy,Friendship,Wuxia,Action,Historical,Adventure,Mystery","陈情令","Tencent Video","274","3","196 users","9.4","6445","Tragic Past,Fantasy World,Strong Chemistry,Censored Romance,Playful Male Lead,Smart Male Lead,Adapted From A Novel,Calm Second Male Lead,Strong Male Lead,Xianxia","12738","7.9","1258544","the-untamed.jpg"
"My Mister","My Ajusshi,My Ahjussi,Naui Ajeosshi,My Ahjusshi","Mar 21, 2018 - May 17, 2018","Wednesday,Thursday","South Korea","77","16","Life,Business,Psychological,Family,Drama","나의 아저씨","tvN","166","17","96 users","9.2","6571","Badass Female Lead,Cold Woman,Office Worker,Nice Male Lead,Hardship,Infidelity,Smart Female Lead,Workplace,Strong Female Lead,Healing","17245","9.4","71509","my-mister.jpg"
"Signal","Sigeuneol","Jan 22, 2016 - Mar 12, 2016","Friday,Saturday","South Korea","75","16","Supernatural,Investigation,Crime,Suspense,Mystery,Drama","시그널","tvN","56","19","105 users","9.2","13333","Criminal Profiler,Murder,Investigation,Serial Killer,Kidnapping,Detective,Smart Female Lead,Time Altering,Hwaseong Serial Murders,Different Timelines","30313","9.2","176801","signal.jpg"
"Prison Playbook","Prison,Seulgirowoon Gambbangsaenghwal,Gamok,Wise Prison Life,감옥,Smart Prison Living","Nov 22, 2017 - Jan 18, 2018","Wednesday,Thursday","South Korea","90","16","Comedy,Friendship,Drama,Life","슬기로운 감빵생활","Netflix,tvN","162","20","53 users","9.2","6647","Prison,Character Development,Slight Romance,Wrongfully Accused,Nice Male Lead,Baseball,Slice Of Life,Bromance,Black Comedy,Strong Male Lead","17466","9.4","97002","prison-playbook.jpg"
"Mother","Call Me Mother,Madeo","Jan 24, 2018 - Mar 15, 2018","Wednesday,Thursday","South Korea","63","16","Investigation,Life,Psychological,Melodrama,Family,Suspense,Drama","마더","tvN","332","24","30 users","9.2","3798","Motherhood,Mother-Daughter Relationship,Independent Female Lead,Single Parent,Orphan Female Lead,Adoption,Child Abuse,Older Woman/Younger Man,Teacher,Remake","11104","8.3","67825","mother-2018.jpg"
"Nirvana in Fire","Lang Ya Bang,琅琊榜","Sep 19, 2015 - Oct 15, 2015","Tuesday,Wednesday,Thursday,Monday,Friday,Sunday,Saturday","China","45","54","Military,Fantasy,Friendship,Political,Tragedy,Wuxia,Historical,War,Drama","瑯琊榜","BTV","377","26","81 users","9.2","3565","Royalty,Hidden Identity,Power Struggle,Skilled Killer,Scheme,Female Warrior,Smart Male Lead,Political Intrigue,Adapted From A Novel,Bromance","9937","9.3","400032","nirvana-in-fire.jpg"
"SKY Castle","프린세스 메이커,Princess Maker,SKY Kaeseul","Nov 23, 2018 - Feb  1, 2019","Friday,Saturday","South Korea","75","20","Psychological,School,Family,Mystery,Drama","SKY 캐슬","jTBC","220","32","38 users","9.1","6660","Social Satire,Rich Kids,Makjang,Mother-Daughter Relationship,Social Commentary,Female Centered Plot,Satire,Child Education,Medical,Multiple Mains","14728","8.8","82122","sky-castle.jpg"
"Joy of Life","Qing's Remaining Years,Qing Yu Nian,Thankful for the Remaining Years,慶余年","Nov 26, 2019 - Jan  1, 2020","Tuesday,Wednesday,Monday","China","45","46","Romance,Action,Historical,Political,Comedy","庆余年","iQiyi,Tencent Video","1297","37","32 users","9.2","975","Revenge,Sword-fight,First Love,Power Struggle,Scheme,Smart Male Lead,Martial Arts,Adapted From A Novel,Strong Male Lead,Time Travel","3243","7.9","672296","joy-of-life.jpg"
"Crash Landing on You","Love’s Emergency Landing,Emergency Lands of Love,Unsettling Lo,Sarangui Bulsichag,The Crash of Love,Crash Landing of Love,Sarangui bulsichak,Breakdown of Love,Love's Crash Landing,Love Crashes,Sarangui Boolshichak,Emergency Love Landing,Salangui Bulsichag","Dec 14, 2019 - Feb 16, 2020","Sunday,Saturday","South Korea","85","16","Comedy,Romance,Drama,Political","사랑의 불시착","Netflix,tvN","187","40","98 users","9.1","7634","North And South Korea,Lovers From Different Countries,Army Officer,Nice Male Lead,Cohabitation,Pretend Relationship,North Korean,Rich Female Lead,Strong Female Lead,Strong Male Lead","16021","8.2","126520","crash-landing-on-you.jpg"
"Healer","Heelreo","Dec  8, 2014 - Feb 10, 2015","Tuesday,Monday","South Korea","60","20","Romance,Thriller,Action,Comedy,Mystery,Drama","힐러","KBS2","11","41","244 users","9.1","32049","Reporter,Badass Male Lead,Hidden Identity,Hardworking Female Lead,Double Identity,Calm Male Lead,Political,Trauma,Strong Female Lead,Strong Male Lead","54932","8.6","70841","healer.jpg"
"1 Litre no Namida","1 Litre of Tears,One Litre of Tears,A Diary with Tears,Ichi Rittoru no Namida","Oct 11, 2005 - Dec 20, 2005","Tuesday","Japan","45","11","Romance,Tragedy,Melodrama,School,Family,Drama","1 リットルの涙","Fuji TV","87","45","92 users","9.0","13710","Tearjerker,Spinocerebellar Ataxia,Kito Aya,Based On True Story,Terminal Illness,High School,Adapted From A Novel,Kanjani 8","24947","8.9","77447","1-litre-no-namida.jpg"
"Eternal Love","Ten Miles of Peach Blossoms,三生三世，十里桃花,Three Lives Three Worlds,Ten Great III of Peach Blossom,The Eternal Ten Miles of Peach Blossoms,San Sheng San Shi Shi Li Tao Hua","Jan 30, 2017 - Mar  1, 2017","Tuesday,Wednesday,Thursday,Monday,Friday,Sunday,Saturday","China","45","58","Fantasy,Friendship,Supernatural,Romance,Wuxia,Melodrama,Historical,Adventure,War,Drama","三生三世十里桃花","ZJTV","190","51","166 users","9.0","8035","Historical Fantasy,Multiple Couples,Steamy Kiss,Married Couple,Adapted From A Novel,Second Chance,Amnesia,Strong Female Lead,Male Chases Female First,Xianxia","15949","6.5","184283","eternal-love.jpg"
"Stranger","Secret Forest,Bimilui Soop,Forest of Secrets,Bimil Uisup","Jun 10, 2017 - Jul 30, 2017","Saturday,Sunday","South Korea","70","16","Investigation,Psychological,Thriller,Detective,Suspense,Law,Mystery,Drama","비밀의 숲","Netflix,tvN","152","57","59 users","9.0","7417","Cold Man,Murder,Lawyer,Antisocial Personality Disorder,Wrongfully Accused,Alexithymia,Smart Female Lead,Corruption,Strong Female Lead,Prosecutor","18096","9.2","85887","stranger.jpg"
"Someday or One Day","Want to Meet You,Some Day or One Day,Some Day Or One Day?,想见你","Nov 17, 2019 - Feb 16, 2020","Sunday","Taiwan","72","13","Fantasy,Romance,Comedy,Mystery,Drama","想見你","CTV","1565","55","18 users","9.2","621","Doppelganger,Death,Heartbreak,Love Triangle,Parallel Dimension,Healing,Second Chance,Mental Illness,Time Travel,Youth","2642","9.2","437519","someday-or-one-day.jpg"
"The Gifted","The Gifted นักเรียนพลังกิฟต์,The Gifted Series,The Gifted Students","Aug  5, 2018 - Nov  4, 2018","Sunday","Thailand","55","13","Fantasy,Friendship,Supernatural,Sci-Fi,Thriller,School,Suspense,Youth","นักเรียนพลังกิฟต์","GMM One","974","58","32 users","9.1","1490","Super Powers,Child Abuse,Adapted From A Novel,Corruption,Multiple Mains","4222","8.4","2406","the-gifted.jpg"
"Goblin","Great God Who Falls in Love,쓸쓸하고 찬란하神-도깨비,The Lonely,Shining Goblin,Goblin: The Story of an Eternal,Sseulsseulhago Chalranhashin-Dokkaebi,Guardian: The Lonely and Great God,Dokkaebi","Dec  2, 2016 - Jan 21, 2017","Friday,Saturday","South Korea","82","16","Comedy,Supernatural,Romance,Melodrama","도깨비","tvN","2","59","229 users","9.0","39804","Older Man/Younger Woman,Secondary Couple,Soulmates,Age Gap,Rich Man/Poor Woman,Fate,Interspecies Romance,Bromance,Dokkaebi,Grim Reaper","66898","8.7","245132","goblin.jpg"
"The Untamed Special Edition","The Untamed Special Cut","Dec 25, 2019 - Feb  4, 2020","Tuesday,Wednesday,Thursday","China","60","20","Fantasy,Friendship,Wuxia,Action,Historical,Adventure,Mystery","陈情令特別剪辑版","Tencent Video","2428","60","4 users","9.3","453","Cold Male Lead,Tragic Past,Hidden Identity,Censored Romance,Calm Male Lead,Smart Male Lead,Funny Male Lead,Adapted From A Novel,Bromance,Xianxia","1542","","","the-untamed-special-edition.jpg"
"Reply 1988","Eungdabhara 1988,Answer To 1988,Respond To 1988,Respond 1988,Contéstame 1988,Answer Me 1988","Nov  6, 2015 - Jan 16, 2016","Friday,Saturday","South Korea","100","20","Friendship,Romance,Life,Family,Comedy,Youth","응답하라 1988","tvN","68","61","97 users","9.0","12963","Multiple Couples,Love Triangle,Childhood Friends,Poor Female Lead,High School,Sweet Second Male Lead,Neighbours,Slice Of Life,Bromance,Single Mother","27969","9.7","468402","reply-1988.jpg"
"Life on Mars","Laipeu On Maseu,Life on Mars Korea,Raipeu On Maseu","Jun  9, 2018 - Aug  5, 2018","Saturday,Sunday","South Korea","65","16","Supernatural,Investigation,Psychological,Action,Detective,Suspense,Comedy,Mystery,Drama","라이프 온 마스","OCN","357","68","25 users","9.0","4200","Western Series Remake,Slight Romance,Calm Male Lead,Smart Male Lead,Police Officer,Father-Son Relationship,Bromance,Strong Female Lead,1980s,Police Procedural","10422","9","40247","life-on-mars.jpg"
"Mr. Sunshine","Mister Sunshine,Miseuteo Shunshain","Jul  7, 2018 - Sep 30, 2018","Saturday,Sunday","South Korea","80","24","Military,Romance,Tragedy,Action,Historical,War","미스터 션샤인","Netflix,tvN","189","69","56 users","8.9","6047","Independent Female Lead,Pre-produced,Multi-lingual,Soldier,Humour,Smart Male Lead,Foreigner,Bromance,Strong Female Lead,Strong Male Lead","15974","8.9","19647","mr-sunshine.jpg"
"Six Flying Dragons","Roots of the Throne,Yukryongi Nareusya,Yookryongi Nareushya,Yookryongi Nareusha","Oct  5, 2015 - Mar 22, 2016","Tuesday,Monday","South Korea","60","50","Military,Friendship,Romance,Tragedy,Psychological,Thriller,Action,Historical,Martial Arts,Drama","육룡이 나르샤","SBS","281","73","24 users","8.9","3674","Aggressive Male Lead,Power Struggle,Ambition,Scheme,Morally Ambiguous Lead,Revolution,Political Intrigue,Political,Bromance,Sword-fight","12542","9.1","7138","six-flying-dragons.jpg"
"Dear My Friends","Dieo Mai Peurenjeu,My Dear Friend","May 13, 2016 - Jul  2, 2016","Friday,Saturday","South Korea","70","16","Friendship,Life,Melodrama,Family,Drama","디어 마이 프렌즈","tvN","762","75","12 users","9.0","1479","Mother-Daughter Relationship,Best Friends,Multiple Couples,Abusive Relationship,Female Centered Plot,Mother-Son Relationship,Senior Citizen,Life Lesson,Single Mother,Family Conflict","5366","9.5","33994","dear-my-friends.jpg"
"The Story of Ming Lan","庶女明兰传,知否知否應是綠肥紅瘦,知否？知否？应是绿肥红瘦,海棠依旧,Concubine's Daughter: Biography of Ming Lan,Don’t you know? The green should be plump and the red lean by,Do You Know? It Ought To Be a Wilting Flower Amongst The Lush Leaves,red and thin,Know whether it should be green","Dec 25, 2018 - Feb 13, 2019","Tuesday,Wednesday,Thursday,Monday,Friday,Sunday,Saturday","China","45","73","Romance,Historical,Political,Comedy,Drama","知否知否应是绿肥红瘦","Hunan TV","699","76","34 users","9.0","2196","Male Chases Female First,Adapted From A Novel,Revenge,Calm Female Lead,Evil Mother-in-law,Smart Male Lead,Grandma-Granddaughter Relationship,Smart Female Lead,Strong Female Lead,Strong Male Lead","5764","7.6","209455","the-story-of-ming-lan.jpg"
"Weightlifting Fairy Kim Bok Joo","Yeokdoyojung Kimbokjoo,Weightlifting Fairy,Weightlifting Fairy Kim Bok-ju,Kim Bokjoo","Nov 16, 2016 - Jan 11, 2017","Wednesday,Thursday","South Korea","60","16","Friendship,Romance,Sports,School,Comedy,Youth","역도요정 김복주","MBC","12","83","143 users","8.9","33774","Tomboy,Dream,Sismance,Bantering Relationship,Woman Loves Eating,Ex-girlfriend Comes Back,Nice Male Lead,College Life,Friends To Lovers,Male Chases Female First","54209","8.6","101362","weightlifting-fairy-kim-bok-joo.jpg"
"HIStory3: Trapped","HIStory 3: Quan Tao,The Trap","Apr 16, 2019 - Jun 12, 2019","Tuesday,Wednesday","Taiwan","25","20","Friendship,Romance,Investigation,Crime,Thriller,Action,Comedy,Mystery","HIStory 3 - 圈套","CHOCO TV,LINE TV","478","84","51 users","8.9","4827","Multiple Couples,Revenge,Bisexual Character,Enemies To Lovers,Hate To Love,Police Officer,LGBTQ+,Gangster,Gay Relationship,Gay Character","8003","7.7","11360","history3-trapped.jpg"
"Defendant","Pigoin,Innocent Defendant ‎","Jan 23, 2017 - Mar 21, 2017","Tuesday,Monday","South Korea","70","18","Thriller,Suspense,Law,Mystery,Drama","피고인","SBS","228","88","33 users","8.9","6041","Law Firm,Hatred,Greed,Mistake,Car Accident,Prisoner,Friends To Enemies,Flashback To Past,Competent Protagonist,Secret Crush","14518","8.4","14766","defendant.jpg"
"Chicago Typewriter","Sikago Tajagi","Apr  7, 2017 - Jun  3, 2017","Friday,Saturday","South Korea","70","16","Friendship,Supernatural,Romance,Political,Comedy,Mystery","시카고 타자기","tvN","121","89","69 users","8.9","9005","Character Development,Soulmates,Japanese Colonial Rule,Reincarnation,Strong Friendship,Bromance,Rebellion,Strong Female Lead,Writer,Time Travel","20065","7.7","7510","chicago-typewriter.jpg"
"Kill Me, Heal Me","Kilmihilmi,KMHM","Jan  7, 2015 - Mar 12, 2015","Wednesday,Thursday","South Korea","62","20","Comedy,Romance,Psychological,Drama","킬미힐미","MBC","16","90","175 users","8.9","26300","Rich Male Lead,Dissociative Identity Disorder,Boss/Employee Relationship,Mental Health,Rich Man/Poor Woman,Nice Male Lead,Heir,Psychiatry,Trauma,Psychiatrist","49108","8.8","73894","kill-me-heal-me.jpg"
"The Guest","Son: The Guest,手: 客人,Hand: The Guest","Sep 12, 2018 - Nov  1, 2018","Wednesday,Thursday","South Korea","65","16","Supernatural,Investigation,Horror,Thriller,Detective,Mystery","손: The Guest","OCN","429","95","38 users","8.9","3382","Death,Hot-tempered Male Lead,Teamwork,Strong Female Lead,Exorcism,Demon,Psychic,Strong Friendship,Shamanism,Priest","8817","7.9","24338","the-guest.jpg"
"Itaewon Class","Itaewon Keullasseu","Jan 31, 2020 - Mar 21, 2020","Friday,Saturday","South Korea","70","16","Friendship,Romance,Life,Business,Food,Drama,Youth","이태원 클라쓰","Netflix,jTBC","461","99","5 users","8.9","1249","Orphan Male Lead,Revenge,Restaurant,Boss/Employee Relationship,Adapted From A Webtoon,Nice Male Lead,Death Of A Parent,Smart Female Lead,Strong Female Lead,Tough Male Lead","8245","8.3","77071","itaewon-class.jpg"
"The Fiery Priest","Yeolhyeolsaje,Hot Blooded Priest,Enthusiastic Priest,Passionate Priest","Feb 15, 2019 - Apr 20, 2019","Friday,Saturday","South Korea","35","40","Friendship,Investigation,Crime,Action,Detective,Comedy,Law,Mystery,Drama","열혈사제","SBS","688","96","18 users","8.9","2299","Murder,Badass Male Lead,Eccentric Male Lead,Aggressive Male Lead,Attempted Murder,Impulsive Female Lead,Gangster,Church,Bromance,Priest","5840","8.1","1718","the-fiery-priest.jpg"
"Live","Laibeu,Raibeu","Mar 10, 2018 - May  6, 2018","Saturday,Sunday","South Korea","70","18","Friendship,Romance,Life,Action,Detective,Mystery","라이브","Netflix,tvN","436","100","31 users","8.9","3412","Gun Violence,Policewoman,Team Work,Strong Friendship,Police,Drinking,Police Officer,Strong Female Lead,Violence,Secret Crush","8597","9.2","41473","live.jpg"
"Incomplete Life","Misaeng","Oct 17, 2014 - Dec 20, 2014","Friday,Saturday","South Korea","80","20","Business,Friendship,Drama,Life","미생","tvN","197","109","46 users","8.8","6106","Office Worker,Workplace Abuse,Hardworking Female Lead,Adapted From A Webtoon,Nice Male Lead,Team Work,Smart Female Lead,Workplace,Strong Female Lead,Tough Female Lead","15506","9.3","63206","incomplete-life.jpg"
"Hanzawa Naoki","","Jul  7, 2013 - Sep 22, 2013","Sunday","Japan","54","10","Suspense,Business,Drama","半沢直樹","TBS","814","111","6 users","8.9","1765","Bank,Ikeido Jun,Office Worker,Idol Actor,Hey! Say! Jump,Nikkan Daily Sports Drama GP,Adapted From A Novel,Corruption","5014","9.2","161320","hanzawa-naoki.jpg"
"Story of Yanxi Palace","The Story of Yanxi Palace,Yan Xi's conquest,Yanxi Gonglue,The Tale of Yanxi Palace","Jul 19, 2018 - Aug 26, 2018","Tuesday,Wednesday,Thursday,Monday,Friday,Sunday,Saturday","China","45","70","Romance,Psychological,Historical,Comedy,Drama","延禧攻略","iQiyi","972","113","27 users","8.9","2034","Qianlong Emperor,Older Man/Younger Woman,Revenge,Sismance,Age Gap,Harem,Qing Dynasty,Betrayal,Strong Female Lead,Obsession","4226","7.2","290475","story-of-yanxi-palace.jpg"
"Romantic Doctor, Teacher Kim 2","The Romantic Doctor 2,Nangmandakteo Kimsaboo 2,Doctor Romantic 2,Romantic Doctor Kim 2,Good Things Get Better 2,Dr. Romantic 2","Jan  6, 2020 - Feb 25, 2020","Tuesday,Monday","South Korea","70","16","Medical,Romance,Drama,Melodrama","낭만닥터 김사부2","SBS","641","114","22 users","8.8","2279","Love–Hate Relationship,Hospital,Teamwork,Nurse,Nervous Female Lead,Smart Male Lead,Smart Female Lead,Trauma,Multiple Mains,Doctor","6166","8.4","11017","romantic-doctor-teacher-kim-2.jpg"
"TharnType","TharnType: The Series,TharnType S","Oct  7, 2019 - Jan  6, 2020","Monday","Thailand","50","12","Friendship,Romance,School,Family,Drama","Tharn Type The Series เกลียดนักมาเป็นที่รักกันซะดีๆ","GMM One","544","115","75 users","8.8","4390","Adapted From A Novel,Friends With Benefits,Steamy Kiss,Tragic Past,Enemies To Lovers,LGBTQ+,Gay Relationship,College Life,Roommate,Gay Character","7213","8.4","6216","tharntype.jpg"
"Project S: Skate Our Souls",",Skate Our Souls","Sep  9, 2017 - Nov 25, 2017","Saturday","Thailand","45","8","Friendship,Sports,Melodrama,Youth","โปรเจกต์ เอส เดอะซีรีส์: SOS","GMM 25","2424","116","9 users","9.0","594","Single Parent,Student,Depression,Suicide,High School,Psychology,Bromance,Self-harm,College Life","1547","9.3","1603","project-s-skate-our-souls.jpg"
"Ashes of Love","Heavy Sweetness,香蜜沉沉燼如霜,The Honey Sank Like Frost,Xiang Mi Chen Chen Jin Ru Shuang,Ash-like Frost","Aug  2, 2018 - Sep  4, 2018","Tuesday,Wednesday,Thursday,Monday,Friday,Sunday,Saturday","China","45","63","Fantasy,Friendship,Supernatural,Romance,Wuxia,Melodrama,Historical,Comedy,Drama","香蜜沉沉烬如霜","iQiyi,JSTV,Youku,Tencent Video","301","117","149 users","8.8","5587","Tearjerker,Obsession,Obsessive Second Lead,Love Triangle,Xianxia,Naive Female Lead,Adapted From A Novel,Sibling Rivalry,Male Chases Female First,Deity","12104","7.7","287192","ashes-of-love.jpg"
