"name","other_names","air_dates","air_days","country","duration","episodes","genres","native_name","original_network","mdl_popularity","mdl_rank","mdl_num_reviews","mdl_rating","mdl_num_ratings","mdl_tags","mdl_num_watchers","db_rating","db_num_ratings","image_path"
"The Untamed","Chén qíng lìng ,  Grandmaster of Demonic Cultivation ,  Magic Ancestors ,  The Founder of Diabolism ,  Mo Dao Zu Shi ,  魔道祖师 ,  Chen qing ling","Jun 27, 2019 - Aug  7, 2019","Monday, Tuesday, Wednesday","China","45 min.","50","Action,  Adventure,  Friendship,  Historical,  Mystery,  Wuxia,  Fantasy","陈情令","Tencent Video","#274","#3","196 users","9.4","6445","Censored Romance, Tragic Past, Strong Chemistry, Strong Male Lead, Fantasy World, Adapted From A Novel, Calm Second Male Lead, Playful Male Lead, Smart Male Lead, Xianxia (Vote or add tags)","12,738","7.9","1258544","the-untamed.jpg"
"My Mister","My Ahjusshi ,  Naui Ajeosshi ,  My Ajusshi ,  My Ahjussi","Mar 21, 2018 - May 17, 2018","Wednesday, Thursday","South Korea","1 hr. 17 min.","16","Business,  Psychological,  Life,  Drama,  Family","나의 아저씨","tvN","#166","#17","96 users","9.2","6571","Nice Male Lead, Healing, Strong Female Lead, Smart Female Lead, Infidelity, Badass Female Lead, Workplace, Hardship, Office Worker, Cold Woman (Vote or add tags)","17,245","9.4","71509","my-mister.jpg"
"Signal","Sigeuneol","Jan 22, 2016 - Mar 12, 2016","Friday, Saturday","South Korea","1 hr. 15 min.","16","Suspense,  Mystery,  Crime,  Drama,  Supernatural,  Investigation","시그널","tvN","#56","#19","105 users","9.2","13333","Different Timelines, Criminal Profiler, Serial Killer, Detective, Hwaseong Serial Murders, Murder, Time Altering, Kidnapping, Investigation, Smart Female Lead (Vote or add tags)","30,313","9.2","176801","signal.jpg"
"Prison Playbook","Seulgirowoon Gambbangsaenghwal ,  감옥 ,  Gamok ,  Prison ,  Smart Prison Living ,  Wise Prison Life","Nov 22, 2017 - Jan 18, 2018","Wednesday, Thursday","South Korea","1 hr. 30 min.","16","Friendship,  Comedy,  Life,  Drama","슬기로운 감빵생활","tvN,  Netflix,  Netflix,  Netflix,  Netflix","#162","#20","53 users","9.2","6647","Prison, Bromance, Black Comedy, Slight Romance, Wrongfully Accused, Slice Of Life, Character Development, Strong Male Lead, Baseball, Nice Male Lead (Vote or add tags)","17,466","9.4","97002","prison-playbook.jpg"
"Mother","Madeo ,  Call Me Mother","Jan 24, 2018 - Mar 15, 2018","Wednesday, Thursday","South Korea","1 hr. 3 min.","16","Suspense,  Psychological,  Life,  Drama,  Family,  Melodrama,  Investigation","마더","tvN","#332","#24","30 users","9.2","3798","Mother-Daughter Relationship, Independent Female Lead, Child Abuse, Orphan Female Lead, Older Woman/Younger Man, Adoption, Single Parent, Motherhood, Remake, Teacher (Vote or add tags)","11,104","8.3","67825","mother-2018.jpg"
"Nirvana in Fire","Lang Ya Bang ,  琅琊榜","Sep 19, 2015 - Oct 15, 2015","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday","China","45 min.","54","Military,  Friendship,  Historical,  Wuxia,  Drama,  Fantasy,  War,  Tragedy,  Political","瑯琊榜","BTV","#377","#26","81 users","9.2","3565","Bromance, Smart Male Lead, Political Intrigue, Power Struggle, Hidden Identity, Adapted From A Novel, Scheme, Female Warrior, Royalty, Skilled Killer (Vote or add tags)","9,937","9.3","400032","nirvana-in-fire.jpg"
"SKY Castle","SKY Kaeseul ,  Princess Maker ,  프린세스 메이커","Nov 23, 2018 - Feb  1, 2019","Friday, Saturday","South Korea","1 hr. 15 min.","20","Mystery,  Psychological,  School,  Drama,  Family","SKY 캐슬","jTBC","#220","#32","38 users","9.1","6660","Multiple Mains, Social Commentary, Makjang, Medical, Social Satire, Female Centered Plot, Satire, Child Education, Rich Kids, Mother-Daughter Relationship (Vote or add tags)","14,728","8.8","82122","sky-castle.jpg"
"Joy of Life","Thankful for the Remaining Years ,  Qing Yu Nian ,  Qing's Remaining Years ,  慶余年","Nov 26, 2019 - Jan  1, 2020","Tuesday, Wednesday, Monday","China","45 min.","46","Action,  Historical,  Comedy,  Romance,  Political","庆余年","Tencent Video,  iQiyi,  iQiyi","#1297","#37","32 users","9.2","975","Power Struggle, Time Travel, Strong Male Lead, Adapted From A Novel, Scheme, Smart Male Lead, Revenge, Martial Arts, Sword-fight, First Love (Vote or add tags)","3,243","7.9","672296","joy-of-life.jpg"
"Crash Landing on You","Salangui Bulsichag ,  Sarangui Bulsichag ,  Breakdown of Love ,  The Crash of Love ,  Love's Crash Landing ,  Love’s Emergency Landing ,  Emergency Love Landing ,  Sarangui Boolshichak ,  Emergency Lands of Love ,  Sarangui bulsichak ,  Crash Landing of Love ,  Love Crashes ,  Unsettling Lo","Dec 14, 2019 - Feb 16, 2020","Sunday, Saturday","South Korea","1 hr. 25 min.","16","Comedy,  Romance,  Drama,  Political","사랑의 불시착","tvN,  Netflix,  Netflix,  Netflix,  Netflix","#187","#40","98 users","9.1","7634","North And South Korea, Lovers From Different Countries, Strong Female Lead, Army Officer, Rich Female Lead, North Korean, Nice Male Lead, Strong Male Lead, Cohabitation, Pretend Relationship (Vote or add tags)","16,021","8.2","126520","crash-landing-on-you.jpg"
"Healer","Heelreo","Dec  8, 2014 - Feb 10, 2015","Monday, Tuesday","South Korea","60 min.","20","Action,  Thriller,  Mystery,  Comedy,  Romance,  Drama","힐러","KBS2","#11","#41","244 users","9.1","32049","Double Identity, Hidden Identity, Strong Male Lead, Calm Male Lead, Hardworking Female Lead, Trauma, Badass Male Lead, Strong Female Lead, Political, Reporter (Vote or add tags)","54,932","8.6","70841","healer.jpg"
"1 Litre no Namida","Ichi Rittoru no Namida ,  One Litre of Tears ,  A Diary with Tears ,  1 Litre of Tears","Oct 11, 2005 - Dec 20, 2005","Tuesday","Japan","45 min.","11","Romance,  School,  Drama,  Family,  Melodrama,  Tragedy","1 リットルの涙","Fuji TV","#87","#45","92 users","9.0","13710","Based On True Story, Terminal Illness, Tearjerker, High School, Adapted From A Novel, Spinocerebellar Ataxia, Kito Aya, Kanjani 8 (Vote or add tags)","24,947","8.9","77447","1-litre-no-namida.jpg"
"Eternal Love","三生三世，十里桃花 ,  San Sheng San Shi Shi Li Tao Hua ,  Three Lives Three Worlds ,  Ten Great III of Peach Blossom ,  The Eternal Ten Miles of Peach Blossoms ,  Ten Miles of Peach Blossoms ,  Three Lives Three Worlds, Ten Miles of Peach Blossoms","Jan 30, 2017 - Mar  1, 2017","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday","China","45 min.","58","Adventure,  Friendship,  Historical,  Romance,  Wuxia,  Drama,  Fantasy,  Melodrama,  Supernatural,  War","三生三世十里桃花","ZJTV","#190","#51","166 users","9.0","8035","Male Chases Female First, Second Chance, Amnesia, Steamy Kiss, Xianxia, Married Couple, Adapted From A Novel, Strong Female Lead, Multiple Couples, Historical Fantasy (Vote or add tags)","15,949","6.5","184283","eternal-love.jpg"
"Stranger","Bimil Uisup ,  Secret Forest ,  Forest of Secrets ,  Bimilui Soop","Jun 10, 2017 - Jul 30, 2017","Saturday, Sunday","South Korea","1 hr. 10 min.","16","Suspense,  Thriller,  Mystery,  Psychological,  Law,  Drama,  Detective,  Investigation","비밀의 숲","tvN,  Netflix,  Netflix,  Netflix,  Netflix","#152","#57","59 users","9.0","7417","Cold Man, Alexithymia, Strong Female Lead, Antisocial Personality Disorder, Smart Female Lead, Corruption, Murder, Prosecutor, Wrongfully Accused, Lawyer (Vote or add tags)","18,096","9.2","85887","stranger.jpg"
"Someday or One Day","Some Day Or One Day? ,  想见你 ,  Want to Meet You ,  Some Day or One Day","Nov 17, 2019 - Feb 16, 2020","Sunday","Taiwan","1 hr. 12 min.","13","Mystery,  Comedy,  Romance,  Drama,  Fantasy","想見你","CTV,  CTV","#1565","#55","18 users","9.2","621","Time Travel, Second Chance, Doppelganger, Mental Illness, Death, Parallel Dimension, Love Triangle, Heartbreak, Youth, Healing (Vote or add tags)","2,642","9.2","437519","someday-or-one-day.jpg"
"The Gifted","The Gifted Series ,  The Gifted Students ,  The Gifted นักเรียนพลังกิฟต์","Aug  5, 2018 - Nov  4, 2018","Sunday","Thailand","55 min.","13","Suspense,  Friendship,  Thriller,  School,  Youth,  Sci-Fi,  Fantasy,  Supernatural","นักเรียนพลังกิฟต์","GMM One","#974","#58","32 users","9.1","1490","Super Powers, Multiple Mains, Corruption, Adapted From A Novel, Child Abuse (Vote or add tags)","4,222","8.4","2406","the-gifted.jpg"
"Goblin","쓸쓸하고 찬란하神-도깨비 ,  Dokkaebi ,  Sseulsseulhago Chalranhashin-Dokkaebi ,  The Lonely, Shining Goblin ,  Guardian: The Lonely and Great God ,  Goblin: The Story of an Eternal, Great God Who Falls in Love","Dec  2, 2016 - Jan 21, 2017","Friday, Saturday","South Korea","1 hr. 22 min.","16","Comedy,  Romance,  Melodrama,  Supernatural","도깨비","tvN","#2","#59","229 users","9.0","39804","Secondary Couple, Grim Reaper, Interspecies Romance, Older Man/Younger Woman, Age Gap, Fate, Bromance, Dokkaebi, Rich Man/Poor Woman, Soulmates (Vote or add tags)","66,898","8.7","245132","goblin.jpg"
"The Untamed Special Edition","The Untamed Special Cut","Dec 25, 2019 - Feb  4, 2020","Tuesday, Wednesday, Thursday","China","60 min.","20","Action,  Adventure,  Friendship,  Historical,  Mystery,  Wuxia,  Fantasy","陈情令特別剪辑版","Tencent Video","#2428","#60","4 users","9.3","453","Censored Romance, Adapted From A Novel, Xianxia, Bromance, Funny Male Lead, Tragic Past, Calm Male Lead, Cold Male Lead, Smart Male Lead, Hidden Identity (Vote or add tags)","1,542","","","the-untamed-special-edition.jpg"
"Reply 1988","Eungdabhara 1988 ,  Answer Me 1988 ,  Respond 1988 ,  Answer To 1988 ,  Respond To 1988 ,  Contéstame 1988","Nov  6, 2015 - Jan 16, 2016","Friday, Saturday","South Korea","1 hr. 40 min.","20","Friendship,  Comedy,  Romance,  Life,  Youth,  Family","응답하라 1988","tvN","#68","#61","97 users","9.0","12963","Neighbours, Childhood Friends, Multiple Couples, Love Triangle, Bromance, Slice Of Life, High School, Poor Female Lead, Sweet Second Male Lead, Single Mother (Vote or add tags)","27,969","9.7","468402","reply-1988.jpg"
"Life on Mars","Laipeu On Maseu ,  Life on Mars Korea ,  Raipeu On Maseu","Jun  9, 2018 - Aug  5, 2018","Saturday, Sunday","South Korea","1 hr. 5 min.","16","Action,  Suspense,  Mystery,  Psychological,  Comedy,  Drama,  Supernatural,  Detective,  Investigation","라이프 온 마스","OCN","#357","#68","25 users","9.0","4200","Western Series Remake, Bromance, 1980s, Police Officer, Smart Male Lead, Police Procedural, Calm Male Lead, Slight Romance, Strong Female Lead, Father-Son Relationship (Vote or add tags)","10,422","9","40247","life-on-mars.jpg"
"Mr. Sunshine","Miseuteo Shunshain ,  Mister Sunshine","Jul  7, 2018 - Sep 30, 2018","Saturday, Sunday","South Korea","1 hr. 20 min.","24","Action,  Military,  Historical,  Romance,  War,  Tragedy","미스터 션샤인","tvN,  Netflix,  Netflix,  Netflix,  Netflix","#189","#69","56 users","8.9","6047","Strong Female Lead, Bromance, Foreigner, Soldier, Multi-lingual, Strong Male Lead, Humour, Pre-produced, Independent Female Lead, Smart Male Lead (Vote or add tags)","15,974","8.9","19647","mr-sunshine.jpg"
"Six Flying Dragons","Yookryongi Nareusha ,  Roots of the Throne ,  Yukryongi Nareusya ,  Yookryongi Nareushya","Oct  5, 2015 - Mar 22, 2016","Monday, Tuesday","South Korea","60 min.","50","Action,  Military,  Friendship,  Thriller,  Historical,  Psychological,  Romance,  Drama,  Martial Arts,  Tragedy","육룡이 나르샤","SBS","#281","#73","24 users","8.9","3674","Revolution, Political Intrigue, Bromance, Sword-fight, Scheme, Ambition, Aggressive Male Lead, Power Struggle, Political, Morally Ambiguous Lead (Vote or add tags)","12,542","9.1","7138","six-flying-dragons.jpg"
"Dear My Friends","My Dear Friend ,  Dieo Mai Peurenjeu","May 13, 2016 - Jul  2, 2016","Friday, Saturday","South Korea","1 hr. 10 min.","16","Friendship,  Life,  Drama,  Family,  Melodrama","디어 마이 프렌즈","tvN","#762","#75","12 users","9.0","1479","Female Centered Plot, Best Friends, Mother-Son Relationship, Mother-Daughter Relationship, Life Lesson, Senior Citizen, Multiple Couples, Abusive Relationship, Family Conflict, Single Mother (Vote or add tags)","5,366","9.5","33994","dear-my-friends.jpg"
"The Story of Ming Lan","Concubine's Daughter: Biography of Ming Lan ,  庶女明兰传 ,  Do You Know? It Ought To Be a Wilting Flower Amongst The Lush Leaves ,  海棠依旧 ,  知否？知否？应是绿肥红瘦 ,  知否知否應是綠肥紅瘦 ,  Know whether it should be green, red and thin ,  Don’t you know? The green should be plump and the red lean by","Dec 25, 2018 - Feb 13, 2019","Monday, Tuesday, Wednesday, Thursday, Friday, Sunday, Saturday","China","45 min.","73","Historical,  Comedy,  Romance,  Drama,  Political","知否知否应是绿肥红瘦","Hunan TV","#699","#76","34 users","9.0","2196","Smart Female Lead, Strong Male Lead, Smart Male Lead, Grandma-Granddaughter Relationship, Revenge, Calm Female Lead, Male Chases Female First, Adapted From A Novel, Strong Female Lead, Evil Mother-in-law (Vote or add tags)","5,764","7.6","209455","the-story-of-ming-lan.jpg"
"Weightlifting Fairy Kim Bok Joo","Weightlifting Fairy Kim Bok-ju ,  Weightlifting Fairy, Kim Bokjoo ,  Yeokdoyojung Kimbokjoo","Nov 16, 2016 - Jan 11, 2017","Wednesday, Thursday","South Korea","60 min.","16","Friendship,  Comedy,  Romance,  School,  Youth,  Sports","역도요정 김복주","MBC","#12","#83","143 users","8.9","33774","College Life, Friends To Lovers, Tomboy, Bantering Relationship, Male Chases Female First, Sismance, Dream, Ex-girlfriend Comes Back, Nice Male Lead, Woman Loves Eating (Vote or add tags)","54,209","8.6","101362","weightlifting-fairy-kim-bok-joo.jpg"
"HIStory3: Trapped","The Trap ,  HIStory 3: Quan Tao","Apr 16, 2019 - Jun 12, 2019","Tuesday, Wednesday","Taiwan","25 min.","20","Action,  Friendship,  Thriller,  Mystery,  Comedy,  Romance,  Crime,  Investigation","HIStory 3 - 圈套","LINE TV,  CHOCO TV,  LINE TV,  LINE TV","#478","#84","51 users","8.9","4827","Gay Relationship, Gay Character, LGBTQ+, Police Officer, Hate To Love, Gangster, Revenge, Multiple Couples, Enemies To Lovers, Bisexual Character (Vote or add tags)","8,003","7.7","11360","history3-trapped.jpg"
"Defendant","Pigoin ,  Innocent Defendant ‎","Jan 23, 2017 - Mar 21, 2017","Monday, Tuesday","South Korea","1 hr. 10 min.","18","Suspense,  Thriller,  Mystery,  Law,  Drama","피고인","SBS","#228","#88","33 users","8.9","6041","Prisoner, Friends To Enemies, Hatred, Flashback To Past, Competent Protagonist, Car Accident, Mistake, Law Firm, Secret Crush, Greed (Vote or add tags)","14,518","8.4","14766","defendant.jpg"
"Chicago Typewriter","Sikago Tajagi","Apr  7, 2017 - Jun  3, 2017","Friday, Saturday","South Korea","1 hr. 10 min.","16","Friendship,  Mystery,  Comedy,  Romance,  Supernatural,  Political","시카고 타자기","tvN","#121","#89","69 users","8.9","9005","Rebellion, Reincarnation, Bromance, Japanese Colonial Rule, Writer, Time Travel, Strong Female Lead, Strong Friendship, Character Development, Soulmates (Vote or add tags)","20,065","7.7","7510","chicago-typewriter.jpg"
"Kill Me, Heal Me","Kilmihilmi ,  KMHM","Jan  7, 2015 - Mar 12, 2015","Wednesday, Thursday","South Korea","1 hr. 2 min.","20","Psychological,  Comedy,  Romance,  Drama","킬미힐미","MBC","#16","#90","175 users","8.9","26300","Dissociative Identity Disorder, Trauma, Boss/Employee Relationship, Mental Health, Rich Male Lead, Psychiatry, Nice Male Lead, Psychiatrist, Heir, Rich Man/Poor Woman (Vote or add tags)","49,108","8.8","73894","kill-me-heal-me.jpg"
"The Guest","Son: The Guest ,  Hand: The Guest ,  手: 客人","Sep 12, 2018 - Nov  1, 2018","Wednesday, Thursday","South Korea","1 hr. 5 min.","16","Thriller,  Mystery,  Horror,  Supernatural,  Detective,  Investigation","손: The Guest","OCN","#429","#95","38 users","8.9","3382","Exorcism, Priest, Shamanism, Demon, Psychic, Teamwork, Hot-tempered Male Lead, Death, Strong Friendship, Strong Female Lead (Vote or add tags)","8,817","7.9","24338","the-guest.jpg"
"Itaewon Class","Itaewon Keullasseu","Jan 31, 2020 - Mar 21, 2020","Friday, Saturday","South Korea","1 hr. 10 min.","16","Food,  Friendship,  Business,  Romance,  Life,  Youth,  Drama","이태원 클라쓰","jTBC,  Netflix,  Netflix,  Netflix,  Netflix","#461","#99","5 users","8.9","1249","Restaurant, Revenge, Tough Male Lead, Nice Male Lead, Smart Female Lead, Strong Female Lead, Orphan Male Lead, Death Of A Parent, Adapted From A Webtoon, Boss/Employee Relationship (Vote or add tags)","8,245","8.3","77071","itaewon-class.jpg"
"The Fiery Priest","Yeolhyeolsaje ,  Hot Blooded Priest ,  Enthusiastic Priest ,  Passionate Priest","Feb 15, 2019 - Apr 20, 2019","Friday, Saturday","South Korea","35 min.","40","Action,  Friendship,  Mystery,  Comedy,  Law,  Crime,  Drama,  Detective,  Investigation","열혈사제","SBS","#688","#96","18 users","8.9","2299","Badass Male Lead, Eccentric Male Lead, Aggressive Male Lead, Bromance, Church, Priest, Gangster, Murder, Impulsive Female Lead, Attempted Murder (Vote or add tags)","5,840","8.1","1718","the-fiery-priest.jpg"
"Live","Laibeu ,  Raibeu","Mar 10, 2018 - May  6, 2018","Saturday, Sunday","South Korea","1 hr. 10 min.","18","Action,  Friendship,  Mystery,  Romance,  Life,  Detective","라이브","tvN,  Netflix,  Netflix,  Netflix,  Netflix","#436","#100","31 users","8.9","3412","Strong Friendship, Police Officer, Police, Team Work, Strong Female Lead, Violence, Policewoman, Gun Violence, Drinking, Secret Crush (Vote or add tags)","8,597","9.2","41473","live.jpg"
"Incomplete Life","Misaeng","Oct 17, 2014 - Dec 20, 2014","Friday, Saturday","South Korea","1 hr. 20 min.","20","Friendship,  Business,  Life,  Drama","미생","tvN","#197","#109","46 users","8.8","6106","Office Worker, Workplace Abuse, Team Work, Adapted From A Webtoon, Hardworking Female Lead, Smart Female Lead, Workplace, Strong Female Lead, Nice Male Lead, Tough Female Lead (Vote or add tags)","15,506","9.3","63206","incomplete-life.jpg"
"Hanzawa Naoki","","Jul  7, 2013 - Sep 22, 2013","Sunday","Japan","54 min.","10","Suspense,  Business,  Drama","半沢直樹","TBS","#814","#111","6 users","8.9","1765","Adapted From A Novel, Ikeido Jun, Bank, Office Worker, Nikkan Daily Sports Drama GP, Hey! Say! Jump, Corruption, Idol Actor (Vote or add tags)","5,014","9.2","161320","hanzawa-naoki.jpg"
"Story of Yanxi Palace","The Story of Yanxi Palace ,  Yanxi Gonglue ,  Yan Xi's conquest ,  The Tale of Yanxi Palace","Jul 19, 2018 - Aug 26, 2018","Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday, Monday","China","45 min.","70","Historical,  Psychological,  Comedy,  Romance,  Drama","延禧攻略","iQiyi,  iQiyi","#972","#113","27 users","8.9","2034","Qing Dynasty, Qianlong Emperor, Revenge, Sismance, Age Gap, Strong Female Lead, Harem, Obsession, Older Man/Younger Woman, Betrayal (Vote or add tags)","4,226","7.2","290475","story-of-yanxi-palace.jpg"
"Romantic Doctor, Teacher Kim 2","Romantic Doctor Kim 2 ,  Dr. Romantic 2 ,  Doctor Romantic 2 ,  Nangmandakteo Kimsaboo 2 ,  Good Things Get Better 2 ,  The Romantic Doctor 2","Jan  6, 2020 - Feb 25, 2020","Monday, Tuesday","South Korea","1 hr. 10 min.","16","Romance,  Drama,  Medical,  Melodrama","낭만닥터 김사부2","SBS","#641","#114","22 users","8.8","2279","Doctor, Hospital, Smart Male Lead, Smart Female Lead, Nurse, Teamwork, Love–Hate Relationship, Nervous Female Lead, Multiple Mains, Trauma (Vote or add tags)","6,166","8.4","11017","romantic-doctor-teacher-kim-2.jpg"
"TharnType","TharnType S ,  TharnType: The Series","Oct  7, 2019 - Jan  6, 2020","Monday","Thailand","50 min.","12","Friendship,  Romance,  School,  Drama,  Family","Tharn Type The Series เกลียดนักมาเป็นที่รักกันซะดีๆ","GMM One","#544","#115","75 users","8.8","4390","Gay Character, Gay Relationship, LGBTQ+, Roommate, Steamy Kiss, Adapted From A Novel, Enemies To Lovers, Tragic Past, College Life, Friends With Benefits (Vote or add tags)","7,213","8.4","6216","tharntype.jpg"
"Project S: Skate Our Souls","Skate Our Souls ,","Sep  9, 2017 - Nov 25, 2017","Saturday","Thailand","45 min.","8","Friendship,  Youth,  Sports,  Melodrama","โปรเจกต์ เอส เดอะซีรีส์: SOS","GMM 25","#2424","#116","9 users","9.0","594","Psychology, Depression, Single Parent, Self-harm, High School, Student, College Life, Suicide, Bromance (Vote or add tags)","1,547","9.3","1603","project-s-skate-our-souls.jpg"
